Source,Cost,Bed,Bath,Address,City,Size
Trulia,"$324,900","2 bd","2ba","10580 Lakeside Dr N #A","Garden Grove, CA","903 sqft"
Trulia,"$659,900","4 bd","3ba","12862 Abbey Rd","Garden Grove, CA","2,180 sqft"
Trulia,"$415,000","2 bd","3ba","12834 Palm St #1","Garden Grove, CA","1,333 sqft"
Trulia,"$399,000","3 bd","3ba","12662 Nelson St #A","Garden Grove, CA","1,264 sqft"
Trulia,"$439,900","4 bd","3ba","11076 Linda Ln","Garden Grove, CA",""
Trulia,"$885,000","4 bd","4ba","12432 Frieda Pl","Garden Grove, CA","2,897 sqft"
Trulia,"$275,000","2 bd","2ba","12446 Bay Hill Ct","Garden Grove, CA","873 sqft"
Trulia,"$399,000","3 bd","1ba","11812 Mac Gill St","Garden Grove, CA","1,029 sqft"
Trulia,"$510,000","4 bd","2ba","12407 Ranchero Way","Garden Grove, CA","1,266 sqft"
Trulia,"$355,000","2 bd","2ba","10371 Garden Grove Blvd #15","Garden Grove, CA","1,057 sqft"
Trulia,"$408,900","2 bd","2ba","12664 Chapman Ave #1311","Garden Grove, CA","1,200 sqft"
Trulia,"$595,000","4 bd","2ba","11262 Gilbert St","Garden Grove, CA","1,717 sqft"
Trulia,"$449,000","3 bd","3ba","13272 Yockey St #J","Garden Grove, CA","1,478 sqft"
Trulia,"$615,000","3 bd","2ba","10371 Parliament Ave","Garden Grove, CA","1,889 sqft"
Trulia,"$449,900","3 bd","2ba","12202 Buaro St","Garden Grove, CA","1,200 sqft"
Trulia,"$529,900","4 bd","2ba","11911 Percheron Rd","Garden Grove, CA","1,173 sqft"
Trulia,"$399,900","3 bd","3ba","8709 Marina Way #9","Garden Grove, CA","1,250 sqft"
Trulia,"$545,000","3 bd","2ba","12041 Santa Rosalia St","Garden Grove, CA","1,237 sqft"
Trulia,"$629,000","3 bd","2ba","6942 Amy Ave","Garden Grove, CA","1,553 sqft"
Trulia,"$260,000","1 bd","1ba","12555 Euclid St #64","Garden Grove, CA","745 sqft"
Trulia,"$420,000","3 bd","2ba","11852 Easy Way","Garden Grove, CA","1,145 sqft"
Trulia,"$355,000","2 bd","2ba","10411 Garden Grove Blvd #36","Garden Grove, CA","1,000 sqft"
Trulia,"$519,000","3 bd","2ba","12321 Epsilon St","Garden Grove, CA","1,131 sqft"
Trulia,"$330,000","2 bd","1ba","12832 Sycamore St","Garden Grove, CA","680 sqft"
Trulia,"$629,000","3 bd","2ba","12202 Turquoise St","Garden Grove, CA","1,224 sqft"
Trulia,"$524,900","3 bd","2ba","11361 Biscayne Blvd","Garden Grove, CA","1,310 sqft"
Trulia,"$514,988","3 bd","3ba","13009 Maple","Garden Grove, CA","1,400 sqft"
Trulia,"$269,999","1 bd","1ba","8800 Garden Grove Blvd #39","Garden Grove, CA","847 sqft"
Trulia,"$559,900","3 bd","2ba","11871 Canter Cir","Garden Grove, CA","1,213 sqft"
Trulia,"$549,000","4 bd","2ba","11921 Mac St","Garden Grove, CA","1,460 sqft"
Trulia,"$599,500","5 bd","2ba","8462 Stanford Ave","Garden Grove, CA","1,642 sqft"
Trulia,"$544,900","3 bd","2ba","13331 Partridge St","Garden Grove, CA","1,298 sqft"
Trulia,"$555,000","3 bd","2ba","10042 Ridgley Dr","Garden Grove, CA","1,170 sqft"
Trulia,"$629,000","5 bd","3ba","13371 Hale Ave","Garden Grove, CA","2,058 sqft"
Trulia,"$410,000","3 bd","3ba","10521 Carol Ln","Garden Grove, CA",""
Trulia,"$560,000","5 bd","2ba","13362 Buccaneer Cir","Garden Grove, CA","1,462 sqft"
Trulia,"$549,999","3 bd","2ba","12261 Sungrove St","Garden Grove, CA","1,176 sqft"
Trulia,"$735,000","6 bd","3ba","11122 Bixler Cir","Garden Grove, CA","2,166 sqft"
Trulia,"$565,000","4 bd","2ba","13741 Cypress St","Garden Grove, CA","1,140 sqft"
Trulia,"$559,000","3 bd","2ba","12601 Safford St","Garden Grove, CA","1,600 sqft"
Trulia,"$730,000","4 bd","3ba","13548 Ethan Ln","Garden Grove, CA","1,985 sqft"
Trulia,"$639,000","4 bd","2ba","12236 Dale St","Garden Grove, CA","1,802 sqft"
Trulia,"$600,000","3 bd","2ba","11571 Jerry Ln","Garden Grove, CA","1,746 sqft"
Trulia,"$558,000","5 bd","3ba","13241 Magnolia St","Garden Grove, CA","1,438 sqft"
Trulia,"$679,000","3 bd","2ba","8922 Adah St","Garden Grove, CA","1,872 sqft"
Trulia,"$599,000","3 bd","3ba","13391 Taft St #6","Garden Grove, CA","1,473 sqft"
Trulia,"$1,390,000","3 bd","3ba","9872 Stanford Ave","Garden Grove, CA","2,350 sqft"
Trulia,"$650,000","3 bd","3ba","12345 Quartz Pl","Garden Grove, CA","1,799 sqft"
Trulia,"$595,000","4 bd","2ba","12971 Aspenwood Ln","Garden Grove, CA","1,536 sqft"
Trulia,"$675,000","3 bd","2ba","6651 Amy Ave","Garden Grove, CA","1,279 sqft"
Trulia,"$639,000","4 bd","2ba","12602 Aspenwood Ln","Garden Grove, CA","1,589 sqft"
Trulia,"$650,000","3 bd","1ba","10232 Dakota Ave","Garden Grove, CA","1,688 sqft"
Trulia,"$750,000","4 bd","3ba","12741 Bartlett St","Garden Grove, CA","2,099 sqft"
Trulia,"$569,500","4 bd","2ba","11292 Mount Dr","Garden Grove, CA","1,582 sqft"
Trulia,"$857,000","4 bd","2ba","13871 Elliott Pl","Garden Grove, CA","1,848 sqft"
Trulia,"$579,000","4 bd","2ba","12772 Arletta Cir","Garden Grove, CA","1,640 sqft"
Trulia,"$635,000","3 bd","2ba","12631 Blackthorn St","Garden Grove, CA","1,630 sqft"
Trulia,"$569,000","3 bd","2ba","11551 Janette Ln","Garden Grove, CA","1,373 sqft"
Trulia,"$330,000","2 bd","2ba","9761 Acacia Ave #3","Garden Grove, CA",""
Trulia,"$495,000","3 bd","3ba","12991 Impala Ct","Garden Grove, CA",""
Trulia,"$369,900","3 bd","3ba","13191 Newland St #1","Garden Grove, CA",""
Trulia,"$389,900","2 bd","3ba","11021 Cobblestone Ln","Garden Grove, CA",""
Trulia,"$425,000","3 bd","3ba","13944 La Jolla Plz","Garden Grove, CA",""
Trulia,"$415,000","2 bd","2ba","12688 Chapman Ave #3405","Garden Grove, CA",""
Trulia,"$597,000","4 bd","2ba","9872 Aldgate Ave","Garden Grove, CA",""
Trulia,"$659,000","","","10212 Malinda Ln","Garden Grove, CA",""
Trulia,"$4,900,000","","","13551 Harbor Blvd","Garden Grove, CA",""
Trulia,"$2,850,000","","","10641 Garden Grove Blvd","Garden Grove, CA",""
Trulia,"$449,000","3 bd","3ba","9726 Ramsgate Plz","Garden Grove, CA",""
Trulia,"","3 bd","1ba","Loraleen St","Garden Grove, CA","1,240 sqft"
Trulia,"","5 bd","3ba","Rainbow St","Garden Grove, CA","2,073 sqft"
Trulia,"","2 bd","2ba","Dungan Ln","Garden Grove, CA","1,887 sqft"
Trulia,"","3 bd","2ba","Presidio Way","Garden Grove, CA","1,299 sqft"
Trulia,"","3 bd","2ba","West St","Garden Grove, CA","1,134 sqft"
Trulia,"","5 bd","2ba","Larkin Dr","Garden Grove, CA","2,826 sqft"
Trulia,"","2 bd","2ba","Hala Way","Garden Grove, CA","1,096 sqft"
Trulia,"","7 bd","3ba","Morrie Ln","Garden Grove, CA","2,153 sqft"
Trulia,"","3 bd","2ba","Faye Ave","Garden Grove, CA","1,196 sqft"
Trulia,"","2 bd","2ba","Sussex Cir","Garden Grove, CA","1,008 sqft"
Trulia,"","2 bd","1ba","Sandra Pl","Garden Grove, CA","1,012 sqft"
Trulia,"","4 bd","3ba","Mallard Dr","Garden Grove, CA","2,018 sqft"
Trulia,"Contact For Estimate","2 bd","2ba","10092 Montecito Plz","Garden Grove, CA","1,001 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","12811 Sungrove St","Garden Grove, CA","1,049 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","12541 Sungrove Cir","Garden Grove, CA","1,403 sqft"
Trulia,"","2 bd","2ba","Acacia Ave","Garden Grove, CA","1,298 sqft"
Trulia,"","2 bd","2ba","Creek View Dr","Garden Grove, CA","1,020 sqft"
Trulia,"","4 bd","2ba","Ranchero Way","Garden Grove, CA","1,298 sqft"
Trulia,"Contact For Estimate","2 bd","2ba","12555 Euclid St #31","Garden Grove, CA","1,018 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","12302 Pentagon St","Garden Grove, CA","1,894 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","13262 Blue Spruce Ave","Garden Grove, CA","1,276 sqft"
Trulia,"Contact For Estimate","2 bd","2ba","12841 Dungan Ln","Garden Grove, CA","1,170 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","12002 Cliffwood Ave","Garden Grove, CA","1,239 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","12842 Aspenwood Ln","Garden Grove, CA","1,628 sqft"
Trulia,"Contact For Estimate","2 bd","2ba","12591 Westminster Ave #217","Garden Grove, CA","864 sqft"
Trulia,"","3 bd","1ba","Choisser Rd","Garden Grove, CA","991 sqft"
Trulia,"","2 bd","3ba","Hewitt Pl","Garden Grove, CA","1,025 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","6842 Santa Rita Ave","Garden Grove, CA","1,213 sqft"
Trulia,"","5 bd","2ba","Adams St","Garden Grove, CA","1,909 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","7761 Devonwood Ave","Garden Grove, CA","1,782 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","13372 Kelly St","Garden Grove, CA","1,139 sqft"
Trulia,"","4 bd","2ba","Aspenwood Ave","Garden Grove, CA","1,552 sqft"
Trulia,"","3 bd","2ba","Hopi Rd","Garden Grove, CA","1,161 sqft"
Trulia,"","3 bd","2ba","Park Ave","Garden Grove, CA","1,307 sqft"
Trulia,"","4 bd","2ba","Aspenwood Ln","Garden Grove, CA","1,219 sqft"
Trulia,"","3 bd","2ba","West St","Garden Grove, CA","1,183 sqft"
Trulia,"","3 bd","2ba","Marty Ln","Garden Grove, CA","1,285 sqft"
Trulia,"","5 bd","3ba","Marilyn Cir","Garden Grove, CA","2,687 sqft"
Trulia,"","3 bd","2ba","Ora Dr","Garden Grove, CA","2,147 sqft"
Trulia,"","3 bd","1ba","Village Rd","Garden Grove, CA","1,702 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","13702 Riata St","Garden Grove, CA","1,388 sqft"
Trulia,"Contact For Estimate","4 bd","3ba","8912 Ernest Fulsom Dr","Garden Grove, CA","2,079 sqft"
Trulia,"Contact For Estimate","2 bd","2ba","6661 Santa Rita Ave","Garden Grove, CA","1,506 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","12872 Taylor St","Garden Grove, CA","1,430 sqft"
Trulia,"","3 bd","2ba","Palma Vista St","Garden Grove, CA","1,125 sqft"
Trulia,"Contact For Estimate","3 bd","3ba","11126 Camellia Way","Garden Grove, CA","1,948 sqft"
Trulia,"Contact For Estimate","3 bd","1ba","8541 Chapman Ave","Garden Grove, CA","919 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","11562 Eudora Ln","Garden Grove, CA","1,616 sqft"
Trulia,"Contact For Estimate","5 bd","3ba","13288 Michael Rainford Cir","Garden Grove, CA","2,751 sqft"
Trulia,"Contact For Estimate","5 bd","2ba","12652 Salinaz Dr","Garden Grove, CA","1,312 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","11302 Clarissa St","Garden Grove, CA","1,781 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","11382 Barclay Dr","Garden Grove, CA","1,740 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","12161 Meade St","Garden Grove, CA","2,175 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","12082 Norma Ln","Garden Grove, CA","1,688 sqft"
Trulia,"","3 bd","1ba","Hoggan Ave","Garden Grove, CA","925 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","12001 Kathy Ln","Garden Grove, CA","1,275 sqft"
Trulia,"Contact For Estimate","4 bd","3ba","10521 Carol Ln","Garden Grove, CA","1,616 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","12582 Chaparral Dr","Garden Grove, CA","1,119 sqft"
Trulia,"","2 bd","1ba","Magnolia St","Garden Grove, CA","900 sqft"
Trulia,"","3 bd","2ba","Harcourt Ave","Garden Grove, CA","1,720 sqft"
Trulia,"","2 bd","2ba","Euclid St","Garden Grove, CA","841 sqft"
Trulia,"Contact For Estimate","3 bd","1ba","12952 Ranchero Way","Garden Grove, CA","1,339 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","9781 Oma Pl","Garden Grove, CA","1,672 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","12341 9th St","Garden Grove, CA","2,019 sqft"
Trulia,"Contact For Estimate","2 bd","2ba","12555 Euclid St #56","Garden Grove, CA","1,018 sqft"
Trulia,"Contact For Estimate","1 bd","1ba","12555 Euclid St #112","Garden Grove, CA","752 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","11362 Salinaz Ave","Garden Grove, CA","1,724 sqft"
Trulia,"Contact For Estimate","6 bd","6ba","8702 Joyzelle Ave","Garden Grove, CA","3,721 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","12602 Volkwood St","Garden Grove, CA","1,592 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","11292 Woodbury Rd","Garden Grove, CA","1,274 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","9571 Vons Dr","Garden Grove, CA","1,641 sqft"
Trulia,"Contact For Estimate","4 bd","3ba","11281 Chapman Ave","Garden Grove, CA","3,250 sqft"
