Source,Cost,Bed,Bath,Address,City,Size
Trulia,"","3 bd","2ba","W Houston Ave","Fullerton, CA","1,210 sqft"
Trulia,"","3 bd","3ba","Palmetto Ter","Fullerton, CA","2,125 sqft"
Trulia,"Contact For Estimate","4 bd","3ba","2106 Greenwood Ct","Fullerton, CA","2,728 sqft"
Trulia,"","3 bd","2ba","Grove Pl","Fullerton, CA","1,600 sqft"
Trulia,"","3 bd","1ba","Union Ave","Fullerton, CA","1,370 sqft"
Trulia,"","5 bd","3ba","Summersworth Pl","Fullerton, CA","2,102 sqft"
Trulia,"","3 bd","2ba","Las Palmas Dr","Fullerton, CA","1,762 sqft"
Trulia,"Contact For Estimate","4 bd","3ba","2607 Deerpark Dr","Fullerton, CA","1,951 sqft"
Trulia,"","2 bd","2ba","S Locust Dr","Fullerton, CA","1,245 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","1218 S Washington Ave","Fullerton, CA","1,234 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","2518 Greenwich Dr","Fullerton, CA","1,483 sqft"
Trulia,"Contact For Estimate","3 bd","1ba","2012 W Jacaranda Pl","Fullerton, CA","1,356 sqft"
Trulia,"Contact For Estimate","4 bd","3ba","2065 Hetebrink St","Fullerton, CA","3,182 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","700 S Washington Ave","Fullerton, CA","1,390 sqft"
Trulia,"Contact For Estimate","5 bd","4ba","2264 Simon St","Fullerton, CA","3,229 sqft"
Trulia,"","5 bd","2ba","Waldo Ave","Fullerton, CA","1,299 sqft"
Trulia,"","5 bd","3ba","Lido Pl","Fullerton, CA","2,482 sqft"
Trulia,"Contact For Estimate","4 bd","5ba","779 Arbolado Dr","Fullerton, CA","3,934 sqft"
Trulia,"","3 bd","3ba","W Fern Dr","Fullerton, CA","2,126 sqft"
Trulia,"Contact For Estimate","2 bd","2ba","1933 Houston Ave #21","Fullerton, CA","977 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","404 N Marie Ave","Fullerton, CA","1,502 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","1318 W Elm Ave","Fullerton, CA","1,245 sqft"
Trulia,"","4 bd","2ba","Boxwood Ave","Fullerton, CA","2,167 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","2517 E Santa Fe Ave","Fullerton, CA","1,383 sqft"
Trulia,"","4 bd","3ba","Bayberry Way","Fullerton, CA","2,001 sqft"
Trulia,"Contact For Estimate","2 bd","2ba","1600 S Pomona Ave #C7","Fullerton, CA","1,157 sqft"
Trulia,"Contact For Estimate","3 bd","3ba","1480 Starbuck St","Fullerton, CA","2,836 sqft"
Trulia,"Contact For Estimate","2 bd","3ba","1685 Shady Brook Dr #74","Fullerton, CA","1,150 sqft"
Trulia,"","3 bd","3ba","Brooke Ln","Fullerton, CA","2,879 sqft"
Trulia,"Contact For Estimate","4 bd","2ba","605 W West Ave","Fullerton, CA","1,390 sqft"
Trulia,"Contact For Estimate","4 bd","4ba","1452 Christie St","Fullerton, CA","3,667 sqft"
Trulia,"","3 bd","1ba","Russell Ave","Fullerton, CA","1,408 sqft"
Trulia,"Contact For Estimate","2 bd","1ba","2576 Coventry Cir #98","Fullerton, CA","888 sqft"
Trulia,"Contact For Estimate","3 bd","2ba","2801 Hemlock Pl","Fullerton, CA","1,288 sqft"
Trulia,"Contact For Estimate","3 bd","3ba","1188 W Las Palmas Dr","Fullerton, CA","2,367 sqft"
Trulia,"Contact For Estimate","3 bd","1ba","135 S Citrus Ave","Fullerton, CA","995 sqft"
Trulia,"","3 bd","2ba","W Houston Ave","Fullerton, CA","1,848 sqft"
